tid(S사),raw_text,theme,issue,sentiment,sentiment(all)
FB-7,"자취하는데 뭔 티비야 .. 하면서 노트북이나 패드로 유튜브, ott 시청했었는데 확실히 더 큰 화면으로 보니까 너무 조아요설거지하거나 가구 배치 바꿀 때도 쉽게 움직여서 이동시킬 수 있으니까 정말 좋습니다..삶의 질이 향상됐어요 ㅎㅎ","화면 크기, 이동 편리성, 삶의 질","큰 화면으로 OTT 시청, 이동 편리, 삶의 질 향상","화면 크기: 긍정, 이동 편리성: 긍정, 삶의 질: 긍정",긍정
FB-8,핸드폰으로 ott를 보다보니 항상 아쉬웠는데 고민고민하다질렀어요~^^ 주문후 다음날 오전에 배송설치했고 생각한대로 디자인이나 품질 맘에들어요,"배송, 디자인, 품질","빠른 배송, OTT 시청, 디자인 만족, 품질 만족","이동: 긍정, 사운드: 긍정, 화질: 긍정",긍정
FB-15,"너무 좋아요무겁지만 바퀴가 있어 이동이 용이 하고사운드,화질등 나무랄게 없어요","이동, 사운드, 화질","무겁지만 이동 용이, 우수한 사운드, 우수한 화질","이동: 긍정, 사운드: 긍정, 화질: 긍정",긍정
FB-16,밥 먹을때 자기전에 이동하면서 보고있는데 너무 편하고 좋아요,사용성,"이동 편리, 식사시간 시청, 자기전 시청",사용성: 긍정,긍정
FB-29,ott 유튜브만 보는분들에게 적극추천 리모컨으로도 터치로도 작동 잘됩니다~,"OTT/유튜브, 리모컨, 터치","OTT/유튜브 시청, 리모컨, 터치 작동","OTT/유튜브: 긍정, 리모컨: 긍정, 터치: 긍정",긍정
FB-31,TV 잘 안보시는 분들은 스탠바이미 추천드립니다!,추천,TV 미시청자 추전,추천: 긍정,긍정
FB-34,매우 실용적이고 디자인 및 내구성도 훌륭해보입니다. TV 없는 가정에서는 매우 유용하게 쓰입니다. 이동도 쉬워서 편리하고 화질이나 음량도 만족스럽습니다. 망설이는 분들께 강추합니다.,"실용성, 디자인, 내구성, 유용성, 이동, 화질, 음량","실용성, 훌륭한 디자인, 내구성, TV없는 가정에서 유용, 편리한 이동, 만족스러운 화질, 음량, 강추","실용성: 긍정, 디자인: 긍정, 내구성: 긍정, 유용성: 긍정, 이동: 긍정, 화질: 긍정, 음량: 긍정",긍정
FB-41,저렴한 가격에 배송 잘 받았어요진작에 살걸 그랬어요너무좋아요,"가격, 배송, 제품","저렴한 가격, 배송 만족, 좋은 제품","가격: 긍정, 배송: 긍정, 제품: 긍정",긍정
FB-926,캠핑의 질이 수직 상승했습니다. 룸앤티비랑 고민하다가 이걸로 선택했는데 탁월한 선택입니다. 소리도 빵빵하고 화질도 좋습니다. 너무 무거운게 약간 불편하지만 캠핑장에서이런 티비를 볼 수 있다는게 너무 좋아요.,"사운드, 화질, 무게, 캠핑","좋은 소리, 좋은 화질, 무거움, 캠핑장에서 만족","사운드: 긍정, 화질: 긍정, 무게: 부정, 캠핑: 긍정",긍정
FB-977,무게는 무겁지만 이동도 편하고 여러가지로 유용하게 사용이 될듯합니다 리모콘사용도 되서 좋아요,"무게, 이동, 유용성, 리모컨","무거움, 이동 편리, 유용성, 리모컨 사용 가능","무게: 부정, 이동: 긍정, 유용성: 긍정, 리모콘: 긍정",긍정
FB-894,이동하기편하고 작은핸드폰으로 유튜브보는것보다 훨씬조코 편하네요 인터넷 티비 게임까지 할수 잇는 컴퓨터라고 생각하고 사용하려고 합니다 제품이 무게만 가볍다면 정말완벽할 꺼라고 생각합니다 너무 무거워서 아이나 여자는 움직이기 힘드네요,"이동, OTT/유튜브, 인터넷, 티비, 게임, 무게","이동 편리, OTT/유튜브, 인터넷, 티비, 게임, 무거움","이동: 긍정, 유튜브: 긍정, 인터넷: 긍정, 티비: 긍정, 게임: 긍정, 무게: 부정",긍정
FB-846,이번주캠핑때 기대가 됩니다!무게는 확실히 무겁네요ㅜ,"캠핑, 무게","캠핑 기대, 무거움","캠핑: 긍정, 무게: 부정",중립
FB-994,너무좋아요 날시원해지면 캠핑 갈 생각에 행복,캠핑,캠핑 계획,캠핑: 긍정,긍정
FB-802,생각보다 무거워서캠핑다닐때 잘 들고갈까 의문이들지만ㅋㅋ그래도 일단 이쁘고 이쁘고 이뻐서 모든게 용납됩니다,"무게, 캠핑, 디자인","무거움, 캠핑에 대한 우려, 예쁨","무게: 부정, 캠핑: 부정, 디자인: 긍정",부정
FB-915,여행갈때 가져갔는데 bgm 틀어놓기에도 좋고 유튜브나 넷플릭스 보기에도 너무 좋고 편했어요. 생각보다는 조금 크고 무겁지만 만족합니다.,"음질, OTT/유튜브, OTT/넷플릭스, 크기, 무게","좋은 음질, OTT/유튜브 보기 좋음, OTT/넷플릭스 보기 좋음, 큼, 무거움","음질: 긍정, OTT/유튜브: 긍정, OTT/넷플릭스: 긍정, 크기: 부정, 무게: 부정",중립
FB-185,"첫 출시 때 부터 사고 싶었던 스탠바이미~이제야 저 자신에게 선물했습니다^^OTT, 유튜브 시청에 신세계네요이동성이좋고, 생각보다 화질도깨끗히고 좋습니다~오래도록 잘 사용할것 같아요필요하신 분들은 빨리 구입해서만족감을 46ㄱㅇㅂ6느껴보시길 추천합니다 ^^","OTT/유튜브, 이동성, 화질","OTT/유튜브 보기 좋음, 이동성 좋음, 화질 좋음","OTT/유튜브: 긍정, 이동성: 긍정, 화질: 긍정",긍정
