original_message,summary,카테고리,감성,전체 감성
"평일날 식단 100번 잘해도 주말에..원상복귀네요..
저만.그런거 아니죠? ㅠㅠㅠㅠ",주말 식단 실패,식단,식단: 부정,부정
"강아지가 아프면 병원비가 엄청나더라구요
다들 강아지보험 하시는지요?
하시면 어디에서 월 얼마정도 하시나요??","병원비, 강아지보험, 비용","병원비, 강아지보험, 비용","병원비: 부정, 강아지보험: 중립, 비용: 중립",부정
"뭘 어떻게 해야할지 모르겠으면 물어보던가
설명해줬을 때 다 이해한 것처럼 굴어놓고
잘 하고 있는지 중간중간 물어봤을 때 하고있다고 해놓고
막상 직접 확인해보니까 제대로 손도 안 댔네요 하...
시킨지 일주일 지났는데...
일주일동안 뭐 더 시킨 것도 없고 딱 그 일만 하라고 했는데 ㅋㅋ
그럼 이 신입..그동안 회사 나와서 대체 뭘 한 걸까요...?
완전 사회초년생도 아니고 경력직으로 뽑았으니까
기본적인 건 알 거라고 생각하고 믿고 있었더니..","이해 부족, 업무 미진, 경력직 실망","이해, 업무, 경력","이해: 부정, 업무: 부정, 경력: 부정",부정
"남천동, 광안리에 빵지 순례 많이 다니는데,
광안리 디저트 맛집 꽈페 가봤어요. 
꽈베기가 넘 이쁘고 맛이 다양한데
엄청 부드럽고 맛있어요. 
광안리 놀러와서 기념품으로 선물로 사기 넘 좋아요. ","광안리 디저트 맛집, 다양한 맛, 부드러운 꽈베기, 기념품 추천","디저트 맛집, 다양한 맛, 부드러운 꽈베기, 기념품 추천","디저트 맛집: 긍정, 다양한 맛: 긍정, 부드러운 꽈베기: 긍정, 기념품 추천: 긍정",긍정
"ㅋㅋㅋㅋㅋ아니 친척동생이 클라리넷을 살짝 알려줬는데 저 소질있데여 ㅋㅋㅋ 
그래서 저 클라리넷 좀 깊게 배워보려고 레슨도 알아보고 있습니다. 추친력 쩔.
근데 클라리넷 사기는 부담스러워서 대여할라구여
사당 가까운 곳에 클라리넷 전문점 괜찮은 곳 있을까요?","클라리넷 소질, 레슨, 대여, 사당 전문점","클라리넷 소질, 레슨, 대여, 사당 전문점","클라리넷 소질: 긍정, 레슨: 긍정, 대여: 긍정, 사당 전문점: 긍정",긍정
"이번 악뮤 10주년에 아이유가 깜짝 게스트로 나왔던데
악뮤랑 아이유 조합은 너무 무해하다...
여기서 출근길에 굉장히 편안한 룩으로 입었는데
꾸안꾸 느낌 제대로죵?
위에 티셔츠 찾아보니 NOS7 제품입니다  :)
앞뒤로 로고가 다르게 있어서 더 예쁘네요","악뮤 10주년, 아이유 게스트, 편안한 룩, NOS7 티셔츠, 예쁜 로고","이벤트, 게스트, 패션, 브랜드","이벤트: 긍정, 게스트: 긍정, 패션: 긍정, 브랜드: 긍정",긍정
"나름 매력있는 무쌍이라 생각해서
무쌍으로 살아오다가 갑자기 친구가
쌍수한거 보고 저도 따라서 프리미어에서 쌍수했거든요?
근데 쌍꺼풀 있는 눈도 너무 잘 어울려서
진작 할걸 후회중이에요ㅋㅋㅋ
무쌍도 좋지만 역시 쌍꺼풀 있는게 예쁘긴 하네요","쌍꺼풀 수술, 후회, 예쁨","쌍꺼풀 수술, 무쌍, 외모","쌍꺼풀 수술: 긍정, 무쌍: 긍정, 외모: 긍정",긍정
"천연성분 23가지가 첨가되어 있어
피부결이랑 탄력이랑 윤기를 살려줘서
좋네요
휴대성 좋고 효과좋아서 꾸준히 흡수하면 좋을 듯요
https://smartstore.naver.com/chicblanco/products/10380858914","천연성분, 피부결, 탄력, 윤기, 휴대성, 효과","성분, 피부결, 탄력, 윤기, 휴대성, 효과","성분: 긍정, 피부결: 긍정, 탄력: 긍정, 윤기: 긍정, 휴대성: 긍정, 효과: 긍정",긍정
"오랜만에 본가 갓다가 도시락통 챙기는 김에 엄마가 챙겨줬는데
앞으로 머 챙겨다녀야 할 지 약간 막막하거든여
도시락 챙겨다니시는 분들 메뉴 머 챙겨다니시나요???",도시락 메뉴 고민,도시락 메뉴,도시락 메뉴: 고민,중립
"이별후 1년후 연락해봤는데,
통화로 결혼하자는 식으루 얘기하다가 (결혼얘기나올때 헤어짐)
본인이 1,2달안으로 연락다시 주겠다고 하다가
연락이없는건.. 뭘까요 ????","연락 없음, 결혼 얘기, 재연락 약속","연락, 결혼 얘기, 재연락 약속","연락: 부정, 결혼 얘기: 중립, 재연락 약속: 부정",부정
