issue,theme,긍정,부정,중립,total
빠른 배송,설치 및 배송 서비스,179,0,0,179
좋은 제품,기타,103,0,0,103
무거움,문제 및 불만족,0,71,8,79
저렴한 가격,가격 및 가치,53,0,0,53
만족,사용 만족도,45,0,0,45
이동 편리,이동성과 실용성,41,0,0,41
좋은 화질,화질 및 사운드,41,0,0,41
제품 만족,기타,36,0,0,36
배송 만족,설치 및 배송 서비스,31,0,0,31
편리함,사용 및 편의성,23,0,0,23
예쁜 디자인,디자인 및 외관,19,0,0,19
친절한 설치,설치 및 배송 서비스,19,0,0,19
구매 만족,사용 만족도,18,0,0,18
우수한 화질,화질 및 사운드,18,0,0,18
사용 만족,사용 만족도,18,0,0,18
캠핑에서 사용,캠핑 및 야외 사용,17,0,0,17
추천,사용 만족도,16,0,0,16
좋은 가격,가격 및 가치,15,0,0,15
좋은 사운드,기술 및 성능,15,0,0,15
빠른 설치,설치 및 배송 서비스,14,0,0,14
디자인 만족,디자인 및 외관,13,0,0,13
캠핑 기대,캠핑 및 야외 사용,12,0,0,12
큰 화면,화질 및 화면 관련,12,0,0,12
이쁜 디자인,디자인 및 인테리어,11,0,0,11
캠핑에서 만족,기타,11,0,0,11
배송 지연,부정적 경험 및 개선점,0,10,1,11
친절한 배송,설치 및 배송 서비스,10,0,0,10
안전한 배송,설치 및 배송 서비스,10,0,0,10
캠핑 및 가정에서 사용,캠핑 및 야외 사용,8,0,2,10
좋은 음질,사운드 및 음질,10,0,0,10
게임 가능,제품 기능 및 성능,10,0,0,10
강추,사용 만족도,10,0,0,10
편리한 이동,이동성과 실용성,10,0,0,10
깔끔한 디자인,디자인 및 외관,9,0,0,9
캠핑장에서 사용,캠핑 및 야외 사용,6,0,3,9
설치 만족,설치 및 배송 서비스,9,0,0,9
선물 만족,선물 및 가정용 적합성,8,0,0,8
삶의 질 향상,제품 만족도 및 기능,8,0,0,8
친절한 설치 기사,배송 및 설치 서비스,8,0,0,8
친절한 서비스,서비스 및 지원,7,0,0,7
잘 사용 중,사용 만족도,7,0,0,7
만족스러운 화질,화질 및 사운드,7,0,0,7
다양한 기능,사용 경험 및 기능,7,0,0,7
상품 만족,사용 만족도,7,0,0,7
좋은 상품,제품 품질 및 성능,7,0,0,7
우수한 사운드,화질 및 사운드,7,0,0,7
이동 가능,사용 환경 및 상황,7,0,0,7
만족스러운 구매,사용 만족도,6,0,0,6
좋은 디자인,디자인 및 인테리어,6,0,0,6
좋은 소리,화질 및 사운드,6,0,0,6
선명한 화질,화질 및 화면 관련,6,0,0,6
캠핑에서 사용 기대,캠핑 및 야외 사용,6,0,0,6
사용 편리,사용 및 편의성,6,0,0,6
캠핑장에서 만족,캠핑 및 야외 사용,6,0,0,6
캠핑에서 유용,캠핑 및 야외 사용,5,0,0,5
높은 활용도,제품 만족도 및 기능,5,0,0,5
비싼 가격,기타,0,4,1,5
가족 만족,사용 만족도,5,0,0,5
캠핑용 구매,캠핑 및 야외 사용,3,0,2,5
직접 배송,설치 및 배송 서비스,4,0,1,5
탁월한 선택,사용 만족도,5,0,0,5
괜찮은 화질,화질 및 화면 관련,5,0,0,5
실용성,기타,5,0,0,5
유용성,사용 경험 및 기능,5,0,0,5
캠핑에서 사용 만족,캠핑 및 야외 사용,5,0,0,5
제품 사용 만족,제품 품질 및 성능,5,0,0,5
친절한 설치기사,설치 및 배송 서비스,5,0,0,5
잘 사용,제품 만족도 및 기능,4,0,0,4
높은 만족도,제품 만족도 및 기능,4,0,0,4
